year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2023,2023-10-24,9:00 - 10:00,"
Stacey Allison-Cassin",Sorting Things Out? Disruption and its Consequences,"Professor Allison-Cassin's wide ranging interests include, knowledge and information organization, linked data, classification and open movements, as well as, knowledge justice, Indigenous librarianship, information and society",keynote,,,https://www.youtube.com/watch?v=eldiEe1C19M,
2023,2023-10-24,10:00 - 10:45,Amelia Clarkson,Gaming the System: Exhibiting Video Game History with Quartex,"This talk explores the use of Quartex for creating a digital exhibition that is an introduction to both ideas in video game history and to items in the Syd Bolton Collection at the University of Toronto Mississauga Library, the largest video game collection at an academic library in North America, uniquely designated for research rather than circulation or archival preservation. Talking points include the pros and cons of using Quartex digital collections as an exhibition platform, the challenge of exhibiting and exploring video game technology, and insights for any special collection that includes unique or unconventional media.",talk,,,https://www.youtube.com/watch?v=ROJ0qMq1mZM,
2023,2023-10-24,11:00 - 11:45,John Fink,Teaching a Dog to Catalog: An Abbreviated History of Large Language Models and an Inquiry as to Whether They Can Replace Us,"Large Language Models -- like the ubiquitous ChatGPT -- have taken the world by storm. This talk is *not* about ChatGPT but rather about Large Language Models themselves, with a particular focus on open source LLMs and whether they can be taught to create metadata.",talk,,,https://www.youtube.com/watch?v=L1VyEUiigmQ,
2023,2023-10-24,11:45 - 12:30,Rebecca Dowson | Alison Moore | Joey Takeda | Andrew Gardener,Upgrading Everything Everywhere All At Once,"What do you do when you have lots of digital projects on the same framework that all need to be upgraded at the same time? The DHIL has some ideas: staticize when possible, migrate if you can, and upgrade when necessary.",talk,,,https://www.youtube.com/watch?v=zNGbgeJ619w,
2023,2023-10-24,1:45 - 2:30,Cyril Oberlander | AJ Bealum,"3D Digital Herbarium project: photogrammetry and developing engaging 
interactive 3D models of native plants as a 3D Infrastructure strategy","Transforming how we learn Botany from a 2D to 3D Digital Interactive Herbarium, this library project inspires learners to explore botany, make research fun, and build a 3D infrastructure to advance open pedagogy. Project includes crowdsourcing, software development, photogrammetry, and assignment design, and more.",talk,,,https://www.youtube.com/watch?v=4F2EaxomLEs,
2023,2023-10-24,2:30 - 3:15,Kenton Good | Sarah Severson,Beyond Digitization: Managing digital collections in the Internet Archive,"The University of Alberta Library has been actively expanding its use of the Internet Archive platform to consolidate its already-digitized collections and upload newly digitized materials. In this presentation, they will discuss some of the tools they use to better manage those digital collections.",talk,,,https://www.youtube.com/watch?v=eTT6glh5dNI,
2023,2023-10-24,3:30 - 4:30,"Maggie Jean Nielson | Ginny Sweet (She, Her) | Lisa Snider",Panel Discussion on Library Technology Accessibility Issues,"Although the accessibility for library resources has come a long way in 
recent years, there are still challenges to be addressed.

Each 
panelist will be asked to discuss what they believe are the two or three
 next important accessibility challenges that Library Technologists need
 to address.",panel,,,https://www.youtube.com/watch?v=2P80OKy8Z1Y,
2023,2023-10-24,4:30 - 4:40,Krista Godfrey,Moar meetings: Blocking time for department priorities and team growth,"I know, know, just what you needed, yet another meeting in your already busy schedules, but hear me out. This session will share how the University of Waterloo has been blocking calendars for non-traditional meeting reasons, such as documentation, ticket clean up, and group experimentation and exploration time. Learn why we’re doing this, how it’s going, and why you might want to try it yourself.",lightning,,,https://www.youtube.com/watch?v=kqmST2LbFwk,
2023,2023-10-24,4:40 - 4:50,Andrew Lockhart,Evaluation of the Hublet Tablet System,"Funding was received to purchase a Hublet tablet system as a pilot project in NLPL’s new library. I will provide an evaluation of the Hublet system, and present data collected on the popularity of the tablets and how they are used by patrons.",lightning,,,https://www.youtube.com/watch?v=bmE6624rADY,
2023,2023-10-24,4:50 - 5:00,Zack Taylor | Sandra Sawchuk | Graeme Campbell | Katie Cuyler | Leanne Trimble | Amber Leahey | Susan Mowers,Building Bridges to the Past: Enhancing Census Data Discovery with the Canadian Census Data Discovery Partnership Project,"The Canadian Census Data Discovery Partnership Project (CCDDP) aims to enhance access to historical and contemporary census data through a collaborative effort involving academic libraries, researchers, and government data custodians. This lightning talk provides insights into the project's progress in creating a bilingual data discovery portal.",lightning,,,https://www.youtube.com/watch?v=4E8vXvKqfCk,
2023,2023-10-25,9:00 - 10:00,Cynthia Bruce | Andy Spilioe,OCLC Presents the Dave Binkley Memorial Lecture with Professor Cynthia Bruce,"Access, or accessibility, is an increasingly common focus area for academic institutions trying to respond to provincial, and even federal, accessibility legislation. Accommodation, which is often falsely equated with access, is generally how inaccessibility is remediated which leaves disabled students and faculty to create their own access in a variety of situations. This talk will draw on the lived experience of disability and accessibility to highlight how libraries and academic librarians can disrupt this difficult trend by working in solidarity with disabled students and faculty. It will also examine the relational and collective necessities of access provision in a world where technology is often held up as the ultimate facilitator of access – a solution that can create as many barriers as it removes.","keynote, binkley",,,https://www.youtube.com/watch?v=VApwtMONOaA,
2023,2023-10-25,10:00 - 10:45,Dale Storie | Orland Hoeber,Interactive Information Retrieval Meets Library Discovery: An Interdisciplinary Research Partnership between the Library and a Computer Science Researcher,The University of Regina Library has collaborated with an expert in interactive information retrieval to provide enhanced discovery search options for students and faculty. Graduate students use library APIs to develop and test exploratory search interface prototypes for their thesis research. A recent successful project will be discussed in-depth.,talk,,,https://www.youtube.com/watch?v=SmyApGkv2zw,
2023,2023-10-25,11:00 - 11:45,Lisa Goddard | Susan Brown | Stacey Allison-Cassin | Zachary Schoenberger,LINCS: Building a Linked Data Pipeline for Cultural Heritage Collections,"Linked Infrastructure for Networked Cultural Scholarship (LINCS), a national infrastructure project, has developed a suite of tools to transform cultural heritage data into CIDOC-CRM linked data. Members of the LINCs team will provide a brief tour of our tools, all of which are openly available for use by researchers.",talk,,,https://www.youtube.com/watch?v=ao88gog4G_0,
2023,2023-10-25,11:45 - 11:55,Jeff Carter,New Brunswick Historical Newspapers Project: Preserving and Sharing our Newspaper Heritage Online,"A collaborative project at UNB Libraries between Archives and Special Collections, Microforms, the Imaging Centre and Library Systems to build a portal to every known newspaper published in or directly related to New Brunswick regardless of available format. This presentation will focus on the database architecture, digitization and automated ingest processes, site design and its features.",lightning,,,https://www.youtube.com/watch?v=YmqDY4qV5fQ,
2023,2023-10-25,11:55 - 12:05,Rebecca Dickson | Barbara Sobol,Supporting Discovery and Access on the Wild Wild Web! Leveraging Lean Library at the University of British Columbia,"Understand how UBC Library is leveraging Lean Library as a discovery tool to connect users with collections and services out on the wild Internet. Highlighting successes, limitations and configuration tips, attendees will gain an understanding of this tool and how it shifts the discovery conversation beyond the traditional library ecosystem.",lightning,,,https://www.youtube.com/watch?v=0fN0n1_D55w,
2023,2023-10-25,12:05 - 12:15,Matthew Fesnak,"Managing technology in the library: insights on committees and integrating feminist, post-colonial theory","This presentation will evaluate how I as the LSP and Discovery Services Librarian and how McMaster generally manages library technology implementation and changes, and how does this relate to diversity, equity, and inclusion initiatives and priorities.",lightning,,,https://www.youtube.com/watch?v=1AnPCRiYnHI,
2023,2023-10-25,1:30 - 2:15,Creighton Barrett | Phil Laugher | Roger Gillis | Maria Spear,Symphonic Preservation: A Collaborative Audiovisual Archival Project,"In this presentation, we highlight a collaborative venture between Dalhousie's Fountain School of Performing Arts (FSPA) and the Dalhousie University Archives. Our project focuses on enhancing the description, access, and preservation of a fascinating collection of FSPA's audiovisual recordings. We will share how we prioritize archiving and cataloguing digital recordings for long-term preservation using the Archivematica system and the Archives' Access to Memory (AtoM) finding aids site. With streamlined workflows and guidelines, and an eye to managing challenges related to intellectual property, we manage future transfers within our infrastructure while following archival best practices.",talk,,,https://www.youtube.com/watch?v=TnBCYJ4KQsw,
2023,2023-10-25,2:15 - 3:15,Krista Godfrey | Michael Ridley,"PANEL Machine Learning in Libraries: Building Expertise, Capacity, and Utilization","A brainstorming session to engage participants in consideration of the necessary conditions for developing and expanding the use of machine learning in libraries. The focus will be on identifying opportunities, recognizing barriers, and crafting possible mitigation and enhancement strategies.",panel,,,https://www.youtube.com/watch?v=8JxHizbj0xg,
2023,2023-10-25,3:30 - 4:15,Hanne Pearce,Depth of Field: Combining Conceptual and Technical Knowledge in Media Digital Literacy,"Does understanding the manual mode on a camera help you take better photos? Can being able to clip videos make you capable of producing impactful videos? At the Digital Scholarship Centre (DSC) at the University of Alberta, as digital literacy instructors, we provide service at the point of need when skills or software learning is required. In these interventions, we often find ourselves navigating expectations to ‘just teach me the tool’ when experience proves media production is not just a technical exercise. Research communication is rarely connected to digital scholarship, yet it is in this final phase of the research cycle that digital technologies are increasingly being embraced. With the proliferation of social media, tools, misinformation, and now the adoption of generative AI, navigating knowledge translation is complex. Nevertheless, a pervading perception among academics remains that media creation skills are easy to master. At the DSC “…we contend that technologies are never neutral and not merely tools but are themselves created within oppressive systems and thus embody the very same assumptions about the world that they try to critique” (Zvyagintseva, Cawthorn & Quamen, 2023). In communications particularly, understanding visual communication, rhetorical devices, ideating meaning, storytelling and metaphor become critical in achieving desired goals. As many libraries offer digital literacy training, this presentation will engage participants in a conversation about how deep technology training must be, to be effective. It will overview the development of a workshop series for research communications that use conceptual and technical teaching to allow learners to achieve comprehensive media skills. The presentation will share examples and offer future directions we envision for the series.
Zvyagintseva, L., Cawthorn, K., & Quamen, H. (2023). Digital Literacy as a Theory of Power: Critical Pedagogy in a Library Digital Scholarship Centre. IDEAH. https://doi.org/10.21428/f1f23564.ded41de0                    ",talk,,,https://www.youtube.com/watch?v=X2gzRsd_Yr0,
2023,2023-10-25,4:15 - 4:25,Sam Popowich,The Pragmatics of Systems Librarianship,"What can the experience of moving from a larger to a smaller university library tell us about systems librarianship? This presentation will explore the similarities and differences between larger and smaller libraries, and look at the questions of library culture, campus relationships, and the place of overarching principles in different kinds of library systems units. I will show that systems librarianship not homogeneous or monolithic, but varies between organizations.",lightning,,,https://www.youtube.com/watch?v=2IqCfNOrG_s,
2023,2023-10-25,4:25 - 4:35,Priscilla Carmini | Stephanie Quail,Taming the Beast: Migrating to DSpace 7.6,"This presentation will describe how York University Libraries migrated their institutional repository from DSpace 6.4 to 7.6. Attendees will learn about the team’s project management techniques, the robust testing script they designed, and how they overcame various challenges.",lightning,,,https://www.youtube.com/watch?v=_9J4jy-l97w,
2023,2023-10-25,4:35 - 4:45,Shelley Gullikson,"Usage stats are great and everything, but have you tried non-usage stats?","Web analytics show the pages and links people use, but what about what isn’t used? This lightning talk gives a brief overview of generating non-usage stats for library guides and what happened after content owners were shown what isn’t being used in their guides.",lightning,,,https://www.youtube.com/watch?v=WEvXac4j0JE,
