Toronto,,3,2706078,43.653963,-79.387207
St. Catharine's,,2,2747659,43.167376,-79.241638
The Bahamas,,1,4345405,24.7736546,-78.0000547
Vancouver,,2,817443,49.2608724,-123.1139529
Edmonton,,79,0,53.535411,-113.507996
Hamilton,,2,2701161,43.255205,-79.868202
Halifax,,2,3701105,44.8543667,-63.137798
Regina,,5,698130,50.44876,-104.61731
"Sherwood Park, AB, Canada",,4,14012,53.5256963,-113.2966313
"London, ON, Canada",,1,2633608,42.9537654,-81.2291529
Montreal,,5,2971480,45.4972159,-73.6103642
"Halifax, Canada",,1,3701105,44.8543667,-63.137798
"Lawrence, Kansas, USA",,1,2131152,38.9719384,-95.2359496
Ottawa,,10,2838621,45.421106,-75.690308
Los Angeles,,1,2198143,34.0536909,-118.2427666
Calgary,,7,281530,51.02532675,-114.049868485806
Lethbridge,,1,429507,49.694285,-112.851562
Fredericton,,1,3403777,45.966425,-66.645813
Waterloo,,1,2644557,43.466874,-80.524635
Cincinnati,,1,2714049,39.1014537,-84.5124602
Mississauga,,1,2693430,43.590338,-79.645729
Saskatoon,,3,485497,52.131802,-106.660767
"Southampton, United Kingdom",,1,6794565,50.9137978,-1.39904048346365
Prince George,,2,608750,53.9128645,-122.7453699
Slave Lake,,1,210627,55.2810741,-114.7717876
"Dublin, Ohio, USA",,1,2721374,40.0992294,-83.1140771
Guelph,,1,2659177,43.533783,-80.2306337
St. John's,,1,4212875,47.561701,-52.715149
"Waterloo, ON, Canada",,1,2644557,43.466874,-80.524635
"Lansing, Michigan, USA",,1,2437100,42.7337712,-84.5553805
"Westmount, Quebec, Canada",,1,2973081,45.4857329,-73.5963951
Windsor,,1,2563862,42.30423,-83.029861
"Columbia, SC, USA",,1,3343836,34.0007493,-81.0343313
Oshawa,,1,2723140,43.91768,-78.862953
Raleigh,,1,3338666,35.7803977,-78.6390989
Fiesole,,1,7986625,43.8066689,11.2930735
Bozeman,,1,891191,45.679984,-111.044675
Maskwacis,,1,78026,52.8345485,-113.4506814
